Reference, Value, Footprint, Datasheet
C1,.1u,Capacitors_SMD:C_0805_HandSoldering,
D1,SD101,nu9j-footprints:SOD-123,
R4,10k,Resistors_SMD:R_1206_HandSoldering,
R1,10k,Resistors_SMD:R_1206_HandSoldering,
Q1,MMBT6427,Transistors_SMD:sot23,
R3,6.8k,Resistors_SMD:R_1206_HandSoldering,
R2,680,Resistors_SMD:R_1206_HandSoldering,
C2,.1u,Capacitors_SMD:C_0805_HandSoldering,
P1,PWR,nu9j-footprints:PWR2-16AWG,
P2,PWR_SW,nu9j-footprints:PWR2-16AWG,
L1,500u,nu9j-footprints:TOROID-50,
C4,10u,Capacitors_ThroughHole:Capacitor5x11RM2.5,
C5,10u,Capacitors_ThroughHole:Capacitor5x11RM2.5,
U1,LM7805,SMD_Packages:DPAK-2,
U2,LM3940,SMD_Packages:TO-263,
F1,PTS181224V150,SMD_Packages:SMD-1812_l,
C3,.1u,Capacitors_SMD:C_0805_HandSoldering,
C11,10u,Capacitors_ThroughHole:Capacitor5x11RM2.5,
C6,10u,Capacitors_ThroughHole:Capacitor5x11RM2.5,
C7,10u,Capacitors_ThroughHole:Capacitor5x11RM2.5,
C8,10u,Capacitors_ThroughHole:Capacitor5x11RM2.5,
C9,.1u,Capacitors_SMD:C_0805_HandSoldering,
C10,.1u,Capacitors_SMD:C_0805_HandSoldering,
C12,.1u,Capacitors_SMD:C_0805_HandSoldering,
C13,.1u,Capacitors_SMD:C_0805_HandSoldering,
C14,.1u,Capacitors_SMD:C_0805_HandSoldering,
T2,8:8,nu9j-footprints:BN2-202,
T3,2:3,nu9j-footprints:BN2-3312,
T1,8:8,nu9j-footprints:BN2-202,
Q3,IRF510,Transistors_TO-220:TO-220_FET-GDS_Vertical_LargePads,
Q4,IRF510,Transistors_TO-220:TO-220_FET-GDS_Vertical_LargePads,
R5,300,Discret:R1,
R6,18,Discret:R1,
R8,300,Discret:R1,
R11,51,Discret:R1,
R14,51,Discret:R1,
R12,51,Discret:R1,
R15,51,Discret:R1,
C15,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C16,0.1u,Capacitors_SMD:C_0805_HandSoldering,
R16,10,Resistors_SMD:R_1206_HandSoldering,
R17,10,Resistors_SMD:R_1206_HandSoldering,
RV1,5k,nu9j-footprints:Potentiometer_Trimmer_Piher_PT10_H01,
RV2,5k,nu9j-footprints:Potentiometer_Trimmer_Piher_PT10_H01,
R7,5k,Resistors_SMD:R_1206_HandSoldering,
R10,5k,Resistors_SMD:R_1206_HandSoldering,
R9,10k,Resistors_SMD:R_1206_HandSoldering,
R13,10k,Resistors_SMD:R_1206_HandSoldering,
C17,0.1u,Capacitors_SMD:C_0805_HandSoldering,
JP1,AMP_BAL,Pin_Headers:Pin_Header_Straight_1x02,
Q2,MMBF170,Transistors_SMD:sot23,
C18,150p,Discret:C1,
L2,T50-6 8T,nu9j-footprints:TOROID-50,
L6,T50-6 8T,nu9j-footprints:TOROID-50,
C22,270p,Discret:C1,
C26,150p,Discret:C1,
C19,330p,Discret:C1,
L3,T50-6 9T,nu9j-footprints:TOROID-50,
L7,T50-6 9T,nu9j-footprints:TOROID-50,
C23,680p,Discret:C1,
C27,330p,Discret:C1,
C20,560p,Discret:C1,
L4,T50-2 12T,nu9j-footprints:TOROID-50,
L8,T50-2 12T,nu9j-footprints:TOROID-50,
C24,1000p,Discret:C1,
C28,560p,Discret:C1,
C21,1800p,Discret:C1,
L5,T50-2 17T,nu9j-footprints:TOROID-50,
C25,150p,Discret:C1,
C29,1800p,Discret:C1,
K1,BAND3_IN,nu9j-footprints:EC2-12NU,
K2,BAND2_IN,nu9j-footprints:EC2-12NU,
K3,BAND1_IN,nu9j-footprints:EC2-12NU,
K6,BAND1_OUT,nu9j-footprints:EC2-12NU,
K5,BAND2_OUT,nu9j-footprints:EC2-12NU,
K4,BAND3_OUT,nu9j-footprints:EC2-12NU,
P3,SWD,Pin_Headers:Pin_Header_Straight_1x06,
C30,4.7u,Capacitors_ThroughHole:Capacitor5x11RM2.5,
C31,4.7u,Capacitors_ThroughHole:Capacitor5x11RM2.5,
C32,.1u,Capacitors_SMD:C_0805_HandSoldering,
C33,.1u,Capacitors_SMD:C_0805_HandSoldering,
C34,.1u,Capacitors_SMD:C_0805_HandSoldering,
U3,LCD-2x16,Pin_Headers:Pin_Header_Straight_1x03,
U4,STM32F401xB/C-LQFP,nu9j-footprints:LQFP64,
P7,Thumb-Joystick,Pin_Headers:Pin_Header_Straight_1x05,
T4,12:1,nu9j-footprints:TOROID-50,
T5,1:12,nu9j-footprints:TOROID-50,
R20,51,Resistors_SMD:R_1206_HandSoldering,
R21,51,Resistors_SMD:R_1206_HandSoldering,
D5,SD101,nu9j-footprints:SOD-123,
D4,SD101,nu9j-footprints:SOD-123,
C36,0.1u,Capacitors_SMD:C_0805_HandSoldering,
C35,0.1u,Capacitors_SMD:C_0805_HandSoldering,
R22,15k,Resistors_SMD:R_1206_HandSoldering,
R23,1k,Resistors_SMD:R_1206_HandSoldering,
R18,15k,Resistors_SMD:R_1206_HandSoldering,
R19,1k,Resistors_SMD:R_1206_HandSoldering,
P5,RADIO,nu9j-footprints:SMA-EDGE-0.375in,
P4,ANT,nu9j-footprints:SMA-EDGE-0.375in,
P6,PTT_IN,nu9j-footprints:3.5MM_SWITCHCRAFT-35RASMT2AHNTRX,
K7,ANT_RLY,nu9j-footprints:EC2-12NU,
